skill	skillset_key	sort_order
#battle_set_piece_armies_characters_skillsets_skills_tables;1;db/battle_set_piece_armies_characters_skillsets_skills_tables/qb_op		
wh_main_skill_all_lord_battle_stand_your_ground	qb_shug_tome_yin	568
wh3_main_skill_cth_magic_yin_01_cloak_of_jet_lord	qb_shug_tome_yin	569
wh3_main_skill_cth_magic_yin_03_blossom_wind_lord	qb_shug_tome_yin	570
wh3_main_skill_cth_dragon_blooded_shugengan_self_shadow	qb_shug_tome_yin	571
wh_main_skill_all_lord_battle_stand_your_ground	qb_shug_tome_yang	571
wh3_main_skill_cth_magic_yang_01_dragons_breath_lord	qb_shug_tome_yang	571
wh3_main_skill_cth_dragon_blooded_shugengan_self_fire	qb_shug_tome_yang	571
wh_main_skill_all_all_self_foe-seeker	qb_magistrate_tome	534
wh3_main_skill_cth_lord_magistrate_self_inspired_assault	qb_magistrate_tome	535
wh3_main_skill_cth_lord_magistrate_self_grand_strategist	qb_magistrate_tome	536
wh_main_skill_all_magic_metal_01_searing_doom	qb_alch_tome	537
wh_main_skill_all_magic_metal_03_metalshifting	qb_alch_tome	538
wh_main_skill_all_magic_metal_02_plague_of_rust	qb_alch_tome	539
wh_main_skill_all_magic_heavens_01_harmonic_convergence	qb_astro_tome	540
wh_main_skill_all_magic_heavens_02_wind_blast	qb_astro_tome	541
wh_main_skill_all_magic_heavens_05_urannons_thunderbolt	qb_astro_tome	542
wh_main_skill_all_lord_battle_stand_your_ground	qb_magistrate_dagger	543
wh_main_skill_all_all_self_deadly_onslaught	qb_magistrate_dagger	544
wh3_main_skill_cth_lord_magistrate_self_strategist	qb_magistrate_dagger	545
wh3_main_skill_cth_lord_magistrate_self_inspired_assault	qb_magistrate_dagger	546
wh3_main_skill_cth_lord_magistrate_self_inspired_defence	qb_magistrate_dagger	547
wh_main_skill_all_lord_battle_stand_your_ground	qb_shug_dagger_yang	548
wh3_main_skill_cth_magic_yang_01_dragons_breath_lord	qb_shug_dagger_yang	549
wh3_main_skill_cth_magic_yang_02_jade_shield_lord	qb_shug_dagger_yang	550
wh3_main_skill_cth_magic_yang_03_wall_of_wind_and_fire_lord	qb_shug_dagger_yang	568
wh3_main_skill_cth_dragon_blooded_shugengan_self_life	qb_shug_dagger_yang	569
wh3_main_skill_cth_dragon_blooded_shugengan_self_heavens	qb_shug_dagger_yang	570
wh3_main_skill_cth_dragon_blooded_shugengan_self_fire	qb_shug_dagger_yang	571
wh_main_skill_all_magic_metal_01_searing_doom	qb_alch_dagger	571
wh_main_skill_all_magic_metal_03_metalshifting	qb_alch_dagger	571
wh_main_skill_all_magic_metal_05_gehennas_golden_hounds	qb_alch_dagger	571
wh_main_skill_all_magic_all_06_evasion	qb_alch_dagger	534
wh_main_skill_all_magic_all_07_earthing	qb_alch_dagger	535
wh_main_skill_all_magic_all_08_power_drain	qb_alch_dagger	536
wh_main_skill_all_magic_metal_09_transmutation_of_lead	qb_alch_dagger	537
wh_main_skill_all_magic_heavens_01_harmonic_convergence	qb_astro_dagger	538
wh_main_skill_all_magic_heavens_03_roiling_skies	qb_astro_dagger	539
wh_main_skill_all_magic_heavens_02_wind_blast	qb_astro_dagger	540
wh_main_skill_all_magic_heavens_05_urannons_thunderbolt	qb_astro_dagger	540
wh_main_skill_all_magic_all_06_evasion	qb_astro_dagger	540
wh_main_skill_all_magic_all_07_earthing	qb_astro_dagger	540
wh_main_skill_all_magic_all_08_power_drain	qb_astro_dagger	541
wh_main_skill_all_magic_heavens_09_comet_of_casandora	qb_astro_dagger	542
wh_main_skill_all_magic_all_11_arcane_conduit	qb_astro_dagger	543
