member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/jiangshi_climate+	
wh2_climate_jiang_regular_chaotic	climate_chaotic
wh2_climate_jiang_regular_desert	climate_desert
wh2_climate_jiang_regular_frozen	climate_frozen
wh2_climate_jiang_regular_island	climate_island
wh2_climate_jiang_regular_jungle	climate_jungle
wh2_climate_jiang_regular_magicforest	climate_magicforest
wh2_climate_jiang_regular_mountain	climate_mountain
wh2_climate_jiang_regular_ocean	climate_ocean
wh2_climate_jiang_regular_savannah	climate_savannah
wh2_climate_jiang_regular_temperate	climate_temperate
wh2_climate_jiang_regular_wasteland	climate_wasteland
