member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/jiangshi_climate+		
wh2_climate_jiang_regular_chaotic	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_desert	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_frozen	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_island	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_jungle	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_magicforest	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_mountain	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_ocean	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_savannah	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_temperate	ACTOR	jiangshi_subculture
wh2_climate_jiang_regular_wasteland	ACTOR	jiangshi_subculture
