child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	link_type
#character_skill_node_links_tables;3;db/character_skill_node_links_tables/dynasty_of_the_damned_unique							
wh2_dlc11_skill_node_vmp_bloodline_blood_dragon_lord_battle_12_jiang	wh2_dlc11_skill_node_vmp_bloodline_blood_dragon_lord_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh2_dlc11_skill_node_vmp_bloodline_lahmian_lord_battle_12_jiang	wh2_dlc11_skill_node_vmp_bloodline_lahmian_lord_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh2_dlc11_skill_node_vmp_bloodline_necrarch_lord_battle_12_jiang	wh2_dlc11_skill_node_vmp_bloodline_necrarch_lord_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh2_dlc11_skill_node_vmp_bloodline_strigoi_lord_battle_12_jiang	wh2_dlc11_skill_node_vmp_bloodline_strigoi_lord_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh2_dlc11_skill_node_vmp_bloodline_von_carstein_lord_battle_12_jiang	wh2_dlc11_skill_node_vmp_bloodline_von_carstein_lord_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_dlc04_skill_node_vmp_helman_ghorst_battle_12_jiang	wh_dlc04_skill_node_vmp_helman_ghorst_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_dlc04_skill_node_vmp_strigoi_ghoul_king_battle_12_jiang	wh_dlc04_skill_node_vmp_strigoi_ghoul_king_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_dlc04_skill_node_vmp_vlad_von_carstein_battle_12_jiang	wh_dlc04_skill_node_vmp_vlad_von_carstein_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_main_skill_node_vmp_heinrich_battle_12_jiang	wh_main_skill_node_vmp_heinrich_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_main_skill_node_vmp_lord_battle_12_jiang	wh_main_skill_node_vmp_lord_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_main_skill_node_vmp_mannfred_battle_12_jiang	wh_main_skill_node_vmp_mannfred_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_main_skill_node_vmp_master_necromancer_battle_12_jiang	wh_main_skill_node_vmp_master_necromancer_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_main_skill_node_vmp_red_duke_battle_12_jiang	wh_main_skill_node_vmp_red_duke_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh_pro02_skill_node_vmp_isabella_von_castein_battle_12_jiang	wh_pro02_skill_node_vmp_isabella_von_castein_battle_08	0	1	1	0.0000	0.0000	REQUIRED
wh2_dlc11_skill_node_vmp_bloodline_blood_dragon_lord_battle_03_jiang	wh2_dlc11_skill_node_vmp_bloodline_blood_dragon_lord_battle_01	0	1	1	0.0000	0.0000	REQUIRED
