key	campaign_key	character_skill_key	faction_key	indent	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
#character_skill_nodes_tables;6;db/character_skill_nodes_tables/jiangshi_reborn+									
wh3_main_agent_action_scaling_wh_main_skill_node_set_vmp_master_necromancer_jiang		wh3_main_skill_agent_action_success_scaling		99	0		0	0	false
wh_dlc08_skill_node_vmp_master_necromancer_personal_01_jiang		wh_dlc08_skill_vmp_lord_unique_necromancer_leading_dead		1	0		1	0	true
wh_dlc08_skill_node_vmp_master_necromancer_personal_02_jiang		wh_dlc08_skill_vmp_lord_unique_necromancer_raising_dead		1	1		1	0	true
wh_main_skill_node_vmp_master_necromancer_battle_01_jiang		wh_main_skill_vmp_lord_battle_aura_of_supremacy		4	0		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_02_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_the_unliving_host		4	1		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_03_jiang		jiangshi_spells_of_protection		4	2		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_04_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_evil_souls		4	3		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_05_jiang		jiangshi_malevolant_munitions		4	4		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_06_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_waking_dead		4	5		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_07_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_carriages_of_death		4	6		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_08_jiang		wh_main_skill_vmp_lord_battle_magical_animus		4	7		0	6	true
wh_main_skill_node_vmp_master_necromancer_battle_09_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_legions_of_dead		4	8		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_10_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_dread_knights		4	9		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_11_jiang		wh2_dlc11_skill_vmp_bloodline_all_battle_deadly_power		4	10		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_12_jiang		jiangshi_soul_wood_creations_rank7		4	11		0	0	true
wh_main_skill_node_vmp_master_necromancer_battle_13_jiang		wh_main_skill_vmp_lord_battle_undeath_resurgent		4	12		0	1	true
wh_main_skill_node_vmp_master_necromancer_campaign_01_jiang		wh_main_skill_vmp_lord_campaign_the_restless_dead		5	0		0	0	true
wh_main_skill_node_vmp_master_necromancer_campaign_02_jiang		wh_main_skill_vmp_lord_campaign_undying_horde		5	1		0	0	true
wh_main_skill_node_vmp_master_necromancer_campaign_03_jiang		wh_main_skill_vmp_lord_campaign_children_of_the_night		5	2		0	0	true
wh_main_skill_node_vmp_master_necromancer_campaign_04_jiang		wh_main_skill_vmp_lord_campaign_darkling_skies		5	3		0	0	true
wh_main_skill_node_vmp_master_necromancer_campaign_05_jiang		wh_main_skill_vmp_lord_campaign_ancient_cunning		5	4		0	0	true
wh_main_skill_node_vmp_master_necromancer_campaign_06_jiang		wh_main_skill_vmp_lord_campaign_immortal_horror		5	5		0	4	true
wh_main_skill_node_vmp_master_necromancer_campaign_07_jiang		wh_main_skill_all_lord_campaign_lightning_strike		5	6		0	0	true
