key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/jiangshi_reborn+									
jiang_skill_innate_vmp_scholar_of_forbidden_arts	trait_vampire_counts.png	Forbidden is a word for those who do not have the will to grasp power.	Scholar of Forbidden Arts	0	true	false	false	1.0000	0
jiang_yuwei_unique_zombie_dragon	mount_zombie_dragon.png	An Ice Drake felled long ago by Greasus Goldtooth, happened upon by Yuwei in exile.	Jaugrel	19	false	false	false	0.0000	0
jiang_vigorously_animated	zombie_speed.png	Zombies are terrifying enough, but when they learn how to run, thats when everyone is in trouble.	Vigorously Animated	10	false	false	false	0.0000	0
jiang_lichdom	yuwei_lichdom.png	A forbidden right to embrace undeath, to be eternal and leave the bonds of mortality to behind.	Lichdom	12	false	false	false	0.0000	0
enable_yin_vamp_jiang_skill	trait_human.png			0	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart	mount_corpse_cart.png	Devilish chariots imbued with dark and eldritch power, driving the Undead to greater, more macabre acts.	Corpse Cart	9	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_balefire	mount_corpse_cart_with_balefire.png	Infernal flames belch from dismal braziers, permeating the air with fragments of magic-confounding Warpstone.	Corpse Cart (Balefire)	12	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_master_necromancer_corpse_cart_unholy_lodestone	mount_corpse_cart_with_lodestone.png	When the lodestone bell rings, Dark Magic exudes and ripples across the battlefield.	Corpse Cart (Unholy Lodestone)	15	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_necromancer_corpse_cart	mount_corpse_cart.png	Devilish chariots imbued with dark and eldritch power, driving the Undead to greater, more macabre acts.	Corpse Cart	9	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_necromancer_corpse_cart_balefire	mount_corpse_cart_with_balefire.png	Infernal flames belch from dismal braziers, permeating the air with fragments of magic-confounding Warpstone.	Corpse Cart (Balefire)	12	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_necromancer_corpse_cart_unholy_lodestone	mount_corpse_cart_with_lodestone.png	When the lodestone bell rings, dark magic exudes and ripples across the battlefield.	Corpse Cart (Unholy Lodestone)	15	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_master_necromancer_barded_nightmare	mount_barded_nightmare.png	It is not just Vampires that can tame a fierce, barded Undead steed - some Necromancers have such power too.	Barded Nightmare	7	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_master_necromancer_hellsteed	mount_hellsteed.png	Necromancers may summon a Hellsteed, a winged Nightmare, to take them wherever they wish.	Hellsteed	9	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_necromancer_nightmare	mount_nightmare.png	A Necromancer that can summon a Nightmare is no amateur in the black arts.	Nightmare	7	false	false	false	0.0000	0
jiangshi_anc_mount_vmp_wight_king_barded_skeletal_steed	mount_barded_skeletal_steed.png	Skeletal Steeds draped in fine armour make for an impressive and dangerous sight.	Barded Skeletal Steed	6	false	false	false	0.0000	0
