battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/jiangshi_reborn+	
hu1_cst_zombie_halberd_eye_glow	wh_main_vmp_vampire_counts
hu1_empire_halberd_eye_glow	wh_main_vmp_vampire_counts
hu1_graveguard_2handed_sword_jade_eyes	wh_main_vmp_vampire_counts
hu1_graveguard_sword_and_shield_jade_eyes	wh_main_vmp_vampire_counts
hu1_skeleton_spear_and_shield_jade_eyes	wh_main_vmp_vampire_counts
hu1_skeleton_sword_and_shield_jade_eyes	wh_main_vmp_vampire_counts
hu1_vampire_zombie_sword_jade_eyes	wh_main_vmp_vampire_counts
hu1e_wh3_cathay_hr1_longma_halberd_and_shield	wh_main_vmp_vampire_counts
hu1e_wh3_cathay_hr1_longma_halberd_and_shield_eye_glow	wh_main_vmp_vampire_counts
hu1e_mage_lord_aquamarine	wh_main_vmp_vampire_counts
