unit	additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	recruitment_cost	upkeep_cost	weight	resource_requirement	special_edition_mask	in_encyclopedia	audio_voiceover_culture	ui_unit_group_land	tier	is_high_threat	porthole_camera	mount	use_hitpoints_in_campaign	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur	optional_ui_element	barrier_health	can_be_bribed	point_allowance_weight	is_renown
#main_units_tables;7;db/main_units_tables/jiangshi_reborn+																																												
jiang_damned_cannon		-1	warmachine	1	false	jiang_damned_cannon	44	0	900	wh_main_shp_transport	1	1	44	900	225	medium		0	true	wh_main_vo_culture_Skeleton	artillery_cannon	2	false	cth_cannon		false	composite_scene/porthole/cth_wm_grand_cannon_porthole_01.csc	100.0000	800.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_grave_guard_crossbow		-1	missile_infantry	1	false	jiang_grave_guard_crossbow	90	0	950	wh_main_shp_transport	1	1	90	950	238	medium		0	true	wh_main_vo_culture_Skeleton	missile_infantry_bow	2	false	cth_jade_warrior_crossbow		false		400.0000	550.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_grave_guard_halberd		-1	melee_infantry	1	false	jiang_grave_guard_halberd	120	0	925	wh_main_shp_transport	1	1	120	925	231	medium		0	true	wh_main_vo_culture_Skeleton	infantry_spear_halberd	2	false	cth_jade_warrior_1		false		925.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_shadow_lantern		-1	warmachine	2	false	jiang_shadow_lantern	1	0	1150	wh_main_shp_transport	1	1	8	1150	275	medium		0	true	wh_main_vo_culture_Skeleton	wh3_main_cth_balloon	3	true	default		true	composite_scene/porthole/cth_wm_sky_lantern_porthole_01.csc	550.0000	550.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_zombie_longspear		-1	melee_infantry	1	false	jiang_zombie_longspear	160	0	155	wh_main_shp_transport	1	1	160	155	30	heavy		0	true	wh_main_vo_culture_Zombie	infantry_spear	1	false	vamp_zombie		false		155.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
yuwei_zombie_dragon		-1	lord	1	false	yuwei_zombie_dragon	1	0	2050	wh_main_shp_transport	1	1	1	2050	525	heavy		0	false	wh_main_vo_culture_Vampire	wh3_lord_wizard_yin	0	true	vamp_lord	jaugrel_dragon	true		2050.0000	0.0000	true	vo_culture_None	true	wh_main_vo_actor_Vampire_MasterNecromancer	0	true	false	0	false	false		0.0000	false	1	false
jiang_zombie_reg		-1	melee_infantry	1	false	jiang_zombie_reg	160	0	100	wh_main_shp_transport	1	1	160	100	25	heavy		0	true	wh_main_vo_culture_Zombie	infantry_sword	1	false	vamp_zombie		false		100.0000	0.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_dracolith		4	monster	3	false	jiang_dracolith	1	0	2200	wh_main_shp_transport	1	1	1	2300	565	heavy		0	false	wh_main_vo_culture_Wyvern	dragon	3	true	cth_dragon		true		2300.0000	0.0000	true	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	true	1	true	false		900.0000	false	1	false
jiang_zombie_archer		-1	missile_infantry	1	false	jiang_zombie_archer	140	0	110	wh_main_shp_transport	1	1	140	110	29	heavy		0	true	wh_main_vo_culture_Zombie	missile_infantry_bow	1	false	vamp_zombie		false		0.0000	110.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
jiang_zombie_archer_putridshaft	wh_main_vmp_bindingcircle_2	-1	missile_infantry	1	false	jiang_zombie_archer_putridshaft	140	0	115	wh_main_shp_transport	1	1	140	115	31	heavy		0	true	wh_main_vo_culture_Zombie	missile_infantry_bow	1	false	vamp_zombie		false		0.0000	110.0000	false	wh_main_vo_culture_Vampire_Creature_Order_Giver	false	wh_main_vo_actor_default	0	false	false	6	false	false		0.0000	false	1	false
