faction	unit	name	variant	unit_card
#unit_variants_tables;5;db/unit_variants_tables/astroliche_+				
	astroliche_theak_01	astroliche_theak_01	astroliche_theak_01	astroliche_theak_01
	astroliche_theak_02	astroliche_theak_01	astroliche_theak_01	astroliche_theak_01
	astroliche_theak_03	astroliche_theak_01	astroliche_theak_01	astroliche_theak_01
	astroliche_theak_04	astroliche_theak_01	astroliche_theak_01	astroliche_theak_01
	jade_blooded_shugengan_01	jade_blooded_shugengan_01	jade_shugengan_01	jade_shugengan_01
	jade_blooded_shugengan_02	jade_blooded_shugengan_01	jade_shugengan_01	jade_shugengan_01
	jade_blooded_shugengan_03	jade_blooded_shugengan_01	jade_shugengan_01	jade_shugengan_01
	jiangshi_cha_master_necromancer_0	jiang_master_necromancer	jiang_master_necromancer	wh_main_vmp_master_necromancer
	jiangshi_cha_master_necromancer_1	jiang_master_necromancer	jiang_master_necromancer	wh_main_vmp_master_necromancer
	jiangshi_cha_master_necromancer_2	jiang_master_necromancer	jiang_master_necromancer	wh_main_vmp_master_necromancer
	jiangshi_cha_master_necromancer_3	jiang_master_necromancer	jiang_master_necromancer	wh_main_vmp_master_necromancer
	jiangshi_cha_master_necromancer_4	jiang_master_necromancer	jiang_master_necromancer	wh_main_vmp_master_necromancer
	jiangshi_cha_master_necromancer_5	jiang_master_necromancer	jiang_master_necromancer	wh_main_vmp_master_necromancer
	jiangshi_cha_necromancer_0	jiang_necromancer	jiang_necromancer	wh_main_vmp_necromancer
	jiangshi_cha_necromancer_1	jiang_necromancer	jiang_necromancer	wh_main_vmp_necromancer
	jiangshi_cha_necromancer_2	jiang_necromancer	jiang_necromancer	wh_main_vmp_necromancer
	jiangshi_cha_necromancer_3	jiang_necromancer	jiang_necromancer	wh_main_vmp_necromancer
	jiangshi_cha_necromancer_5	jiang_necromancer	jiang_necromancer	wh_main_vmp_necromancer
	jiangshi_cha_wight_king_0	jiang_wight_king	jiang_wight_king	wh_main_vmp_wight_king
	jiangshi_cha_wight_king_1	jiang_wight_king	jiang_wight_king	wh_main_vmp_wight_king
	jiangshi_cha_wight_king_2	jiang_wight_king	jiang_wight_king	wh_main_vmp_wight_king
