key	text	tooltip
#Loc;1;text/db/!@jiangshi_cultures_subcultures__.loc		
cultures_subcultures_name_jiangshi_subculture	Dynasty of the Damned	true
cultures_subcultures_confederation_screen_name_jiangshi_subculture		true
cultures_subcultures_confederation_summary_name_jiangshi_subculture		true
cultures_subcultures_battle_playstyle_description_jiangshi_subculture		false
cultures_subcultures_name_jiangshi_custom	Dynasty of the Damned	true
cultures_subcultures_confederation_screen_name_jiangshi_custom		true
cultures_subcultures_confederation_summary_name_jiangshi_custom		true
cultures_subcultures_battle_playstyle_description_jiangshi_custom	Yuwei Ha Feng and his entourage known as the Tribunal of Night have returned to the Nonchang. Together they seek to raise an unholy host from the forlorn crypts beneath the Nonchang basin and the surrounding provinces. Soon the dead will march upon Cathays gleaming cities.	false
cultures_name_wh_main_damned_dynasty	Dynasty of the Damned	false
